key,id_now,ff_x,ff_y,fw_x,fw_y,fa_x,fa_y,t_x,t_y,t_xn,t_yn,t_dir,ff_dir
6,28,0,1,0,0,0,0,0,1,0,1,3,3
6,29,0,1,0,0,0,0,0,1,0,1,3,3
6,30,0,1,0,0,0,0,0,1,0,1,3,3
6,31,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
179,31,0,1,0,0,8.42975171282887,1.33226762955019e-15,0,1,0,1,3,3
6,32,0,1,0,0,0,0,0,1,0,1,3,3
178,32,0,1,0,0,0,0,0,2,0,1,3,3
179,32,0,1,0,0,10.5371896410361,0,0,1,0,1,3,3
6,33,0,1,0,0,0,0,0,1,0,1,3,3
178,33,0,1,0,0,0,0,0,1,0,1,3,3
179,33,0,1,0,0,10.5371896410361,-1.77635683940025e-15,1,1,0.707106781186547,0.707106781186547,2,3
6,34,0,1,0,0,0,0,0,2,0,1,3,3
178,34,0,1,0,0,0,0,0,1,0,1,3,3
179,34,0,1,0,0,8.42975171282888,2.66453525910038e-15,0,2,0,1,3,3
2,35,0,1,0,0,0,0,0,1,0,1,3,3
6,35,0,1,0,0,0,0,0,1,0,1,3,3
178,35,0,1,0,0,0,0,0,1,0,1,3,3
179,35,0,1,0,0,8.42975171282887,5.77315972805081e-15,0,1,0,1,3,3
2,36,0,1,0,0,0,0,0,1,0,1,3,3
6,36,0,1,0,0,0,0,0,1,0,1,3,3
10,36,0,1,0,0,0,0,0,1,0,1,3,3
178,36,0,1,0,0,0,0,0,1,0,1,3,3
179,36,0,1,0,0,8.42975171282887,5.77315972805081e-15,0,1,0,1,3,3
1,37,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
2,37,0,1,0,0,1.97372982155583e-16,-1.70930016567428e-16,-1,1,-0.707106781186547,0.707106781186547,4,3
6,37,0,1,0,0,0,0,0,1,0,1,3,3
10,37,0,1,0,0,0,0,0,1,0,1,3,3
178,37,0,1,0,0,0,0,0,2,0,1,3,3
179,37,0,1,0,0,8.42975171282887,5.77315972805081e-15,0,2,0,1,3,3
1,38,0,1,0,0,0,0,0,1,0,1,3,3
2,38,0,1,0,0,1.97372982155583e-16,-1.70930016567428e-16,0,1,0,1,3,3
6,38,0,1,0,0,0,0,0,2,0,1,3,3
10,38,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
178,38,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
