key,id_now,ff_x,ff_y,fw_x,fw_y,fa_x,fa_y,t_x,t_y,t_xn,t_yn,t_dir,ff_dir
3,256,0,1,0,0,0,0,0,1,0,1,3,3
178,256,0,1,0,0,0,0,0,1,0,1,3,3
3,257,0,1,0,0,0,0,0,1,0,1,3,3
178,257,0,1,0,0,0,0,0,1,0,1,3,3
3,258,0,1,0,0,0,0,0,1,0,1,3,3
178,258,0,1,0,0,0,0,0,1,0,1,3,3
179,258,0,1,0,0,3.16115689231083,3.15796771448933e-15,0,1,0,1,3,3
3,259,0,1,0,0,0,0,1,2,0.447213595499958,0.894427190999916,3,3
178,259,0,1,0,0,0,0,0,2,0,1,3,3
179,259,0,1,0,0,3.16115689231083,3.15796771448933e-15,0,1,0,1,3,3
3,260,0,1,0,0,0,0,0,1,0,1,3,3
178,260,0,1,0,0,0,0,0,1,0,1,3,3
179,260,0,1,0,0,8.42975171282887,-4.44089209850063e-16,0,2,0,1,3,3
3,261,0,1,0,0,0,0,0,1,0,1,3,3
178,261,0,1,0,0,0,0,0,1,0,1,3,3
179,261,0,1,0,0,8.42975171282887,-4.44089209850063e-15,1,1,0.707106781186547,0.707106781186547,2,3
3,262,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
178,262,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
179,262,0,1,0,0,3.16115689231083,-1.36744013253942e-15,0,2,0,1,3,3
3,263,0,1,0,0,0,0,0,2,0,1,3,3
178,263,0,1,0,0,0,0,0,1,0,1,3,3
179,263,0,1,0,0,8.42975171282888,0,1,2,0.447213595499958,0.894427190999916,3,3
3,264,0,1,0,0,0,0,0,1,0,1,3,3
178,264,0,1,0,0,0,0,0,1,0,1,3,3
179,264,0,1,0,0,3.16115689231083,5.89284797956818e-15,0,1,0,1,3,3
3,265,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
178,265,0,1,0,0,0,0,0,1,0,1,3,3
179,265,0,1,0,0,3.16115689231083,5.89284797956818e-15,1,2,0.447213595499958,0.894427190999916,3,3
3,266,0,1,0,0,0,0,0,1,0,1,3,3
10,266,0,1,0,0,-4.49358595142112e-16,1.12012751362245e-15,0,1,0,1,3,3
178,266,0,1,0,0,6.72682725097461e-16,-6.06844016346245e-15,0,2,0,1,3,3
179,266,0,1,0,0,3.16115689231082,2.73488026507885e-15,0,1,0,1,3,3
3,267,0,1,0,0,0,0,1,2,0.447213595499958,0.894427190999916,3,3
6,267,0,1,0,0,0,0,0,1,0,1,3,3
10,267,0,1,0,0,-4.49358595142112e-16,1.12012751362245e-15,0,1,0,1,3,3
178,267,0,1,0,0,4.09227704764796e-16,-2.55460474813073e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
179,267,0,1,0,0,3.16115689231083,-2.73488026507885e-15,1,2,0.447213595499958,0.894427190999916,3,3
3,268,0,1,0,0,0,0,0,1,0,1,3,3
6,268,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
10,268,0,1,0,0,-2.21512837310014e-16,3.78158727012363e-16,0,2,0,1,3,3
178,268,0,1,0,0,-5.21543870288218e-16,-7.94282922810322e-16,0,1,0,1,3,3
179,268,0,1,0,0,-5.26859482051805,0,0,1,0,1,3,3
2,269,0,1,0,0,0,0,0,1,0,1,3,3
3,269,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
6,269,0,1,0,0,0,0,0,1,0,1,3,3
10,269,0,1,0,0,-8.02738798446293e-16,1.40898835582153e-16,0,1,0,1,3,3
178,269,0,1,0,0,2.67343535175324e-16,-2.48255682849763e-15,0,1,0,1,3,3
179,269,0,1,0,0,-5.26859482051804,0,0,1,0,1,3,3
3,270,0,1,0,0,0,0,0,1,0,1,3,3
6,270,0,1,0,0,0,0,0,2,0,1,3,3
10,270,0,1,0,0,-1.0274678600479e-15,1.49761505402822e-15,0,1,0,1,3,3
178,270,0,1,0,0,-6.45004877643061e-16,-1.39388309812758e-15,0,2,0,1,3,3
179,270,0,1,0,0,-1.77635683940025e-15,8.88178419700125e-16,0,2,0,1,3,3
2,271,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
3,271,0,1,0,0,0,0,0,1,0,1,3,3
6,271,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
10,271,0,1,0,0,-1.0274678600479e-15,1.49761505402822e-15,0,1,0,1,3,3
178,271,0,1,0,0,-6.70566737259716e-17,1.11718121920753e-15,0,1,0,1,3,3
179,271,0,1,0,0,0,1.77635683940025e-15,0,1,0,1,3,3
2,272,0,1,0,0,0,0,0,1,0,1,3,3
3,272,0,1,0,0,0,0,0,2,0,1,3,3
6,272,0,1,0,0,0,0,0,1,0,1,3,3
10,272,0,1,0,0,-1.0274678600479e-15,1.49761505402822e-15,0,1,0,1,3,3
178,272,0,1,0,0,-6.70566737259716e-17,1.11718121920753e-15,0,1,0,1,3,3
179,272,0,1,0,0,0,1.77635683940025e-15,0,1,0,1,3,3
2,273,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
3,273,0,1,0,0,0,0,0,1,0,1,3,3
6,273,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
