key;id_now;ff_x;ff_y;fw_x;fw_y;fa_x;fa_y;t_x;t_y
179;72;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
179;73;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
179;74;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;2
179;75;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
178;76;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
179;76;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
178;77;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
179;77;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;2
178;78;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
179;78;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
8;79;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
177;79;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
178;79;-0.0;1.0;-0.0;-0.0;-1.578983857244667e-15;2.115437247052439e-16;0;1
179;79;-0.0;1.0;-0.0;-0.0;2.9002239964301075e-16;5.130409486769723e-15;0;2
8;80;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
177;80;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;0
178;80;-0.0;1.0;-0.0;-0.0;3.161156892310826;1.3674401325394229e-15;0;2
179;80;-0.0;1.0;-0.0;-0.0;1.1040936473213651e-15;6.286280989112845e-16;1;1
1;81;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
8;81;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;1
176;81;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
177;81;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
178;81;-0.0;1.0;-0.0;-0.0;1.0537189641036095;-2.4623590326395422e-15;0;1
179;81;-0.0;1.0;-0.0;-0.0;-8.810627541683109e-17;1.5947619265180081e-15;0;1
1;82;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
8;82;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
176;82;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
177;82;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
178;82;-0.0;1.0;-0.0;-0.0;1.0537189641036095;-2.4623590326395422e-15;0;1
179;82;-0.0;1.0;-0.0;-0.0;-8.810627541683109e-17;1.5947619265180081e-15;1;2
1;83;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
8;83;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
176;83;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;1
177;83;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
178;83;-0.0;1.0;-0.0;-0.0;3.1611568923108293;2.10743792820722;0;1
179;83;-0.0;1.0;-0.0;-0.0;3.4904455043504675e-16;2.6908790786631705e-15;0;1
1;84;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
8;84;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;1
176;84;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;2
177;84;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
178;84;-0.0;1.0;-0.0;-0.0;3.161156892310828;2.107437928207218;-1;1
179;84;-0.0;1.0;-0.0;-0.0;3.4904455043504675e-16;2.6908790786631705e-15;1;1
1;85;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
8;85;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
176;85;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
177;85;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
178;85;-0.0;1.0;-0.0;-0.0;4.214875856414437;4.214875856414435;0;1
179;85;-0.0;1.0;-0.0;-0.0;1.8798430337671434e-17;3.1135699439722147e-15;0;2
1;86;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
8;86;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;1
176;86;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
177;86;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
178;86;-0.0;1.0;-0.0;-0.0;4.214875856414437;4.214875856414435;0;2
179;86;-0.0;1.0;-0.0;-0.0;-2.7944900997878005e-17;2.415679135152843e-15;1;1
1;87;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
8;87;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;1
12;87;-0.0;1.0;-0.0;-0.0;-4.634643605370135e-16;-2.464783430295611e-15;0;1
176;87;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
177;87;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
178;87;-0.0;1.0;-0.0;-0.0;2.1074379282072186;5.268594820518049;0;1
179;87;-0.0;1.0;-0.0;-0.0;1.025318373504996e-15;2.2851645346725093e-15;0;1
1;88;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
8;88;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;2
12;88;-0.0;1.0;-0.0;-0.0;-7.711294063533194e-16;-1.0537189641036129;0;1
176;88;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;2
177;88;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
178;88;-0.0;1.0;-0.0;-0.0;2.1074379282072186;5.268594820518049;0;1
179;88;-0.0;1.0;-0.0;-0.0;1.025318373504996e-15;2.2851645346725093e-15;0;2
1;89;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;2
8;89;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
12;89;-0.0;1.0;-0.0;-0.0;-9.953845094913508e-16;-1.7933677624022327e-15;0;1
176;89;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
177;89;-0.0;1.0;-0.0;-0.0;-1.9463083723570987e-16;-5.392330152904392e-16;0;1
178;89;-0.0;1.0;-0.0;-0.0;2.1074379282072195;5.268594820518048;1;1
179;89;-0.0;1.0;-0.0;-0.0;-2.0057514502574988e-16;1.9961904327139644e-15;1;1
1;90;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
8;90;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;1
12;90;-0.0;1.0;-0.0;-0.0;-9.953845094913508e-16;-1.7933677624022327e-15;0;1
176;90;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
177;90;-0.0;1.0;-0.0;-0.0;-1.9463083723570987e-16;-5.392330152904392e-16;0;1
178;90;-0.0;1.0;-0.0;-0.0;-2.220446049250313e-15;3.1611568923108297;0;1
179;90;-0.0;1.0;-0.0;-0.0;-2.0057514502574988e-16;3.180428325647465e-15;0;2
1;91;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
8;91;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
12;91;-0.0;1.0;-0.0;-0.0;-7.811702054977681e-16;1.2108963914538757e-15;-1;2
176;91;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;1
177;91;-0.0;1.0;-0.0;-0.0;-1.9463083723570987e-16;-5.392330152904392e-16;0;1
178;91;-0.0;1.0;-0.0;-0.0;-2.220446049250313e-15;3.1611568923108297;0;2
179;91;-0.0;1.0;-0.0;-0.0;1.1006649158394377e-15;1.2667775711739348e-15;0;1
1;92;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
8;92;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;1
12;92;-0.0;1.0;-0.0;-0.0;-4.343820876075532e-16;-2.107437928207216;0;1
176;92;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
177;92;-0.0;1.0;-0.0;-0.0;-1.998932577633838e-15;1.0577186235262195e-16;0;1
178;92;-0.0;1.0;-0.0;-0.0;-3.1611568923108258;3.1611568923108284;0;1
179;92;-0.0;1.0;-0.0;-0.0;2.3794443655464943e-15;3.286200188000087e-15;1;1
1;93;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
8;93;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
12;93;-0.0;1.0;-0.0;-0.0;2.8738061329893686e-16;-3.1611568923108275;0;1
175;93;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
176;93;-0.0;1.0;-0.0;-0.0;-3.64516746820537e-16;-4.697745761676132e-16;0;2
177;93;-0.0;1.0;-0.0;-0.0;-1.998932577633838e-15;1.0577186235262195e-16;0;1
178;93;-0.0;1.0;-0.0;-0.0;-3.1611568923108258;3.1611568923108284;0;1
179;93;-0.0;1.0;-0.0;-0.0;-2.7526337735917733e-16;5.1926750437792274e-15;0;2
1;94;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
8;94;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
12;94;-0.0;1.0;-0.0;-0.0;2.8738061329893686e-16;-3.1611568923108275;0;1
175;94;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
176;94;-0.0;1.0;-0.0;-0.0;-6.119311673349253e-16;-8.299369616828576e-16;0;1
177;94;-0.0;1.0;-0.0;-0.0;-1.2094406490115047e-15;3.2514543771604327e-16;0;1
178;94;-0.0;1.0;-0.0;-0.0;-5.268594820518045;3.161156892310826;0;1
179;94;-0.0;1.0;-0.0;-0.0;4.0023025415091405e-16;5.138012406660975e-15;0;1
1;95;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
7;95;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
8;95;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
12;95;-0.0;1.0;-0.0;-0.0;2.8738061329893686e-16;-3.1611568923108275;-1;1
175;95;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
176;95;-0.0;1.0;-0.0;-0.0;-6.119311673349253e-16;-8.299369616828576e-16;0;1
177;95;-0.0;1.0;-0.0;-0.0;-1.2094406490115047e-15;3.2514543771604327e-16;0;1
178;95;-0.0;1.0;-0.0;-0.0;-5.268594820518045;3.161156892310826;1;2
179;95;-0.0;1.0;-0.0;-0.0;4.0023025415091405e-16;5.138012406660975e-15;1;1
1;96;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
7;96;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;2
8;96;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;2
12;96;-0.0;1.0;-0.0;-0.0;-4.343820876075532e-16;-2.107437928207216;0;1
175;96;-0.0;1.0;-0.0;-0.0;4.600032645513335e-16;1.6394379131795839e-16;0;1
176;96;-0.0;1.0;-0.0;-0.0;-3.275021602375198e-16;1.8481467808815462e-15;0;1
177;96;-0.0;1.0;-0.0;-0.0;-1.2094406490115047e-15;3.2514543771604327e-16;0;1
