key,id_now,ff_x,ff_y,fw_x,fw_y,fa_x,fa_y,t_x,t_y,t_xn,t_yn,t_dir,ff_dir
177,64,0,1,0,0,0,0,0,1,0,1,3,3
177,65,0,1,0,0,0,0,0,1,0,1,3,3
178,65,0,1,0,0,0,0,0,1,0,1,3,3
177,66,0,1,0,0,0,0,0,1,0,1,3,3
178,66,0,1,0,0,0,0,0,1,0,1,3,3
176,67,0,1,0,0,0,0,0,1,0,1,3,3
177,67,0,1,0,0,-3.77769841170137e-15,-3.74140020824617e-15,1,1,0.707106781186547,0.707106781186547,2,3
178,67,0,1,0,0,-1.57898385724467e-15,2.11543724705244e-16,0,1,0,1,3,3
176,68,0,1,0,0,0,0,0,2,0,1,3,3
177,68,0,1,0,0,1.69206211845632e-15,-8.78807328899338e-15,0,1,0,1,3,3
178,68,0,1,0,0,-1.57898385724467e-15,2.11543724705244e-16,0,1,0,1,3,3
176,69,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
177,69,0,1,0,0,1.69206211845632e-15,5.46976053015769e-15,0,2,0,1,3,3
178,69,0,1,0,0,-1.15589640783418e-15,0,0,1,0,1,3,3
176,70,0,1,0,0,0,0,0,1,0,1,3,3
177,70,0,1,0,0,-3.16115689231083,2.15144777132201e-15,0,1,0,1,3,3
178,70,0,1,0,0,-1.36744013253942e-15,-1.57898385724467e-15,0,2,0,1,3,3
175,71,0,1,0,0,0,0,0,1,0,1,3,3
176,71,0,1,0,0,0,0,0,1,0,1,3,3
177,71,0,1,0,0,-3.16115689231083,2.15144777132201e-15,0,1,0,1,3,3
178,71,0,1,0,0,1.79052758194991e-15,4.59226622870401e-15,0,1,0,1,3,3
175,72,0,1,0,0,0,0,0,1,0,1,3,3
176,72,0,1,0,0,0,0,-1,2,-0.447213595499958,0.894427190999916,3,3
177,72,0,1,0,0,-3.16115689231083,2.15144777132201e-15,-1,2,-0.447213595499958,0.894427190999916,3,3
178,72,0,1,0,0,1.79052758194991e-15,4.59226622870401e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
175,73,0,1,0,0,0,0,0,1,0,1,3,3
176,73,0,1,0,0,0,0,0,1,0,1,3,3
177,73,0,1,0,0,-3.16115689231083,2.15144777132201e-15,0,2,0,1,3,3
178,73,0,1,0,0,1.57898385724467e-15,9.9555136348783e-16,0,2,0,1,3,3
2,74,0,1,0,0,0,0,0,1,0,1,3,3
175,74,0,1,0,0,0,0,0,2,0,1,3,3
176,74,0,1,0,0,0,0,0,2,0,1,3,3
177,74,0,1,0,0,-3.16115689231083,1.12926812683833e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
178,74,0,1,0,0,1.57898385724467e-15,2.00207130665515e-15,0,1,0,1,3,3
2,75,0,1,0,0,0,0,0,1,0,1,3,3
175,75,0,1,0,0,0,0,0,1,0,1,3,3
176,75,0,1,0,0,0,0,0,1,0,1,3,3
177,75,0,1,0,0,1.69206211845632e-15,-8.78807328899338e-15,0,2,0,1,3,3
178,75,0,1,0,0,1.57898385724467e-15,9.9555136348783e-16,-1,2,-0.447213595499958,0.894427190999916,3,3
1,76,0,1,0,0,0,0,0,1,0,1,3,3
2,76,0,1,0,0,-1.79052758194991e-15,2.11543724705244e-16,-1,1,-0.707106781186547,0.707106781186547,4,3
175,76,0,1,0,0,0,0,-1,2,-0.447213595499958,0.894427190999916,3,3
176,76,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
177,76,0,1,0,0,2.68761348194415e-15,2.67433526701e-16,-1,1,-0.707106781186547,0.707106781186547,4,3
178,76,0,1,0,0,0,4.31386412232351e-15,0,1,0,1,3,3
1,77,0,1,0,0,0,0,0,1,0,1,3,3
2,77,0,1,0,0,-4.23087449410488e-16,1.57898385724467e-15,0,1,0,1,3,3
175,77,0,1,0,0,0,0,0,1,0,1,3,3
176,77,0,1,0,0,0,0,1,2,0.447213595499958,0.894427190999916,3,3
177,77,0,1,0,0,2.68761348194415e-15,2.67433526701e-16,0,2,0,1,3,3
178,77,0,1,0,0,3.15796771448933e-15,6.46531189364552e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
1,78,0,1,0,0,0,0,-1,0,-1,0,5,3
2,78,0,1,0,0,-4.23087449410488e-16,1.57898385724467e-15,0,1,0,1,3,3
175,78,0,1,0,0,0,0,0,1,0,1,3,3
176,78,0,1,0,0,0,0,0,1,0,1,3,3
177,78,0,1,0,0,-4.72667831346921e-17,5.80170687771551e-15,0,1,0,1,3,3
178,78,0,1,0,0,3.16115689231083,-7.94976218462081e-16,0,2,0,1,3,3
1,79,0,1,0,0,0,0,0,1,0,1,3,3
2,79,0,1,0,0,-1.79052758194991e-15,-1.36744013253942e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
175,79,0,1,0,0,0,0,0,2,0,1,3,3
176,79,0,1,0,0,0,0,0,2,0,1,3,3
177,79,0,1,0,0,-4.72667831346921e-17,5.80170687771551e-15,0,2,0,1,3,3
178,79,0,1,0,0,3.16115689231083,1.36744013253942e-15,0,1,0,1,3,3
1,80,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
2,80,0,1,0,0,-1.36744013253942e-15,6.31593542897867e-15,0,1,0,1,3,3
174,80,0,1,0,0,0,0,0,1,0,1,3,3
175,80,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
176,80,0,1,0,0,0,0,0,1,0,1,3,3
177,80,0,1,0,0,-4.72667831346921e-17,5.80170687771551e-15,0,1,0,1,3,3
178,80,0,1,0,0,3.16115689231083,-7.94976218462081e-16,0,2,0,1,3,3
1,81,0,1,0,0,0,0,0,1,0,1,3,3
2,81,0,1,0,0,-1.79052758194991e-15,-1.36744013253942e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
172,81,0,1,0,0,0,0,0,1,0,1,3,3
174,81,0,1,0,0,0,0,0,2,0,1,3,3
175,81,0,1,0,0,0,0,0,1,0,1,3,3
176,81,0,1,0,0,0,0,0,2,0,1,3,3
177,81,0,1,0,0,-4.72667831346921e-17,5.80170687771551e-15,1,1,0.707106781186547,0.707106781186547,2,3
178,81,0,1,0,0,3.16115689231083,4.23087449410488e-16,0,1,0,1,3,3
1,82,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
2,82,0,1,0,0,-1.36744013253942e-15,6.31593542897867e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
172,82,0,1,0,0,0,0,0,1,0,1,3,3
174,82,0,1,0,0,0,0,0,1,0,1,3,3
175,82,0,1,0,0,0,0,0,2,0,1,3,3
176,82,0,1,0,0,0,0,0,1,0,1,3,3
177,82,0,1,0,0,1.69206211845632e-15,-8.78807328899338e-15,0,2,0,1,3,3
178,82,0,1,0,0,3.16115689231082,4.10232039761827e-15,0,2,0,1,3,3
1,83,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
2,83,0,1,0,0,-1.36744013253942e-15,6.31593542897867e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
4,83,0,1,0,0,6.00147089175649e-16,-3.4318946625542e-16,0,1,0,1,3,3
172,83,0,1,0,0,0,0,0,1,0,1,3,3
174,83,0,1,0,0,0,0,0,1,0,1,3,3
175,83,0,1,0,0,0,0,0,1,0,1,3,3
176,83,0,1,0,0,0,0,0,1,0,1,3,3
177,83,0,1,0,0,2.68761348194415e-15,2.67433526701e-16,0,1,0,1,3,3
178,83,0,1,0,0,3.16115689231083,4.23087449410488e-16,0,1,0,1,3,3
1,84,0,1,0,0,0,0,0,1,0,1,3,3
2,84,0,1,0,0,-1.36744013253942e-15,6.31593542897867e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
4,84,0,1,0,0,-3.8926167447142e-16,-7.61991470146677e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
174,84,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
175,84,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
176,84,0,1,0,0,0,0,0,2,0,1,3,3
177,84,0,1,0,0,2.68761348194415e-15,2.67433526701e-16,1,1,0.707106781186547,0.707106781186547,2,3
178,84,0,1,0,0,3.16115689231083,4.23087449410488e-16,1,2,0.447213595499958,0.894427190999916,3,3
