key,id_now,ff_x,ff_y,fw_x,fw_y,fa_x,fa_y,t_x,t_y,t_xn,t_yn,t_dir,ff_dir
169,58,0,1,0,0,0,0,0,2,0,1,3,3
169,59,0,1,0,0,0,0,0,1,0,1,3,3
170,59,0,1,0,0,-1.2094406490115e-15,3.25145437716043e-16,0,1,0,1,3,3
171,59,0,1,0,0,-1.36744013253942e-15,1.57898385724467e-15,0,2,0,1,3,3
169,60,0,1,0,0,0,0,-1,2,-0.447213595499958,0.894427190999916,3,3
170,60,0,1,0,0,-1.2094406490115e-15,3.25145437716043e-16,0,1,0,1,3,3
171,60,0,1,0,0,1.57898385724467e-15,-1.15589640783418e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
8,61,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
169,61,0,1,0,0,0,0,0,1,0,1,3,3
170,61,0,1,0,0,8.05944798141574e-16,7.78269613547436e-17,0,1,0,1,3,3
171,61,0,1,0,0,-4.23369160015034e-15,1.72601476109309e-15,0,1,0,1,3,3
4,62,0,1,0,0,0,0,0,1,0,1,3,3
8,62,0,1,0,0,0,0,0,1,0,1,3,3
169,62,0,1,0,0,3.16115689231082,8.42975171282888,0,1,0,1,3,3
170,62,0,1,0,0,-2.53296237757037e-17,2.60116350172835e-15,0,2,0,1,3,3
171,62,0,1,0,0,5.04198195911034e-15,5.95970636124343e-15,0,1,0,1,3,3
4,63,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
8,63,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
169,63,0,1,0,0,3.16115689231082,8.42975171282888,-1,2,-0.447213595499958,0.894427190999916,3,3
170,63,0,1,0,0,-1.10105350943671e-15,-1.075723885661e-15,0,1,0,1,3,3
171,63,0,1,0,0,5.04198195911034e-15,5.95970636124343e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
4,64,0,1,0,0,0,0,0,1,0,1,3,3
8,64,0,1,0,0,0,0,0,1,0,1,3,3
169,64,0,1,0,0,2.10743792820722,10.5371896410361,0,1,0,1,3,3
170,64,0,1,0,0,-3.16115689231083,1.16686498751367e-15,1,1,0.707106781186547,0.707106781186547,2,3
171,64,0,1,0,0,1.88401424462101e-15,2.11801858048438e-15,0,2,0,1,3,3
4,65,0,1,0,0,0,0,0,1,0,1,3,3
8,65,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
169,65,0,1,0,0,2.10743792820722,10.5371896410361,-1,2,-0.447213595499958,0.894427190999916,3,3
170,65,0,1,0,0,-8.42975171282887,0,0,2,0,1,3,3
171,65,0,1,0,0,4.75026571223193e-15,-1.95087262629626e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
4,66,0,1,0,0,0,0,0,1,0,1,3,3
8,66,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
169,66,0,1,0,0,0,10.5371896410361,0,2,0,1,3,3
170,66,0,1,0,0,-8.42975171282887,0,0,1,0,1,3,3
171,66,0,1,0,0,6.54079329418184e-15,-5.32038406549084e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
1,67,0,1,0,0,0,0,0,1,0,1,3,3
4,67,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
8,67,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
169,67,0,1,0,0,8.88178419700125e-16,8.42975171282887,0,1,0,1,3,3
170,67,0,1,0,0,-8.42975171282887,3.99680288865056e-15,0,1,0,1,3,3
171,67,0,1,0,0,6.47945314613656e-16,2.15144777132201e-15,0,2,0,1,3,3
1,68,0,1,0,0,0,0,0,1,0,1,3,3
4,68,0,1,0,0,0,0,0,1,0,1,3,3
