key,id_now,ff_x,ff_y,fw_x,fw_y,fa_x,fa_y,t_x,t_y,t_xn,t_yn,t_dir,ff_dir
177,328,0,1,0,0,0,0,0,1,0,1,3,3
177,329,0,1,0,0,0,0,-1,2,-0.447213595499958,0.894427190999916,3,3
177,330,0,1,0,0,0,0,0,1,0,1,3,3
177,331,0,1,0,0,0,0,0,1,0,1,3,3
177,332,0,1,0,0,0,0,0,1,0,1,3,3
175,333,0,1,0,0,0,0,0,1,0,1,3,3
177,333,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
175,334,0,1,0,0,0,0,0,1,0,1,3,3
177,334,0,1,0,0,0,0,0,1,0,1,3,3
175,335,0,1,0,0,0,0,0,1,0,1,3,3
175,336,0,1,0,0,0,0,0,1,0,1,3,3
177,336,0,1,0,0,0,0,1,2,0.447213595499958,0.894427190999916,3,3
2,337,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
175,337,0,1,0,0,0,0,0,1,0,1,3,3
177,337,0,1,0,0,0,0,0,1,0,1,3,3
1,338,0,1,0,0,0,0,1,0,1,0,1,3
2,338,0,1,0,0,0,0,0,1,0,1,3,3
175,338,0,1,0,0,2.16829722494269e-16,2.02077080435472e-17,0,1,0,1,3,3
177,338,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
1,339,0,1,0,0,0,0,0,1,0,1,3,3
2,339,0,1,0,0,0,0,0,1,0,1,3,3
3,339,0,1,0,0,1.57898385724467e-15,-3.15796771448933e-15,0,1,0,1,3,3
175,339,0,1,0,0,2.16829722494269e-16,2.02077080435472e-17,0,1,0,1,3,3
177,339,0,1,0,0,0,0,0,1,0,1,3,3
1,340,0,1,0,0,0,0,0,1,0,1,3,3
2,340,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
3,340,0,1,0,0,1.57898385724467e-15,-3.15796771448933e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
175,340,0,1,0,0,2.16829722494269e-16,2.02077080435472e-17,0,1,0,1,3,3
177,340,0,1,0,0,0,0,0,1,0,1,3,3
1,341,0,1,0,0,0,0,0,1,0,1,3,3
2,341,0,1,0,0,0,0,0,1,0,1,3,3
3,341,0,1,0,0,1.57898385724467e-15,-3.15796771448933e-15,0,1,0,1,3,3
175,341,0,1,0,0,-1.03681040498363e-15,2.25721963367463e-15,-1,2,-0.447213595499958,0.894427190999916,3,3
177,341,0,1,0,0,0,0,1,2,0.447213595499958,0.894427190999916,3,3
1,342,0,1,0,0,0,0,1,0,1,0,1,3
2,342,0,1,0,0,0,0,0,1,0,1,3,3
3,342,0,1,0,0,1.57898385724467e-15,-3.15796771448933e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
175,342,0,1,0,0,9.728370169343e-18,7.75370436231573e-17,0,1,0,1,3,3
177,342,0,1,0,0,0,0,0,1,0,1,3,3
1,343,0,1,0,0,0,0,0,1,0,1,3,3
2,343,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
3,343,0,1,0,0,5.89284797956818e-15,-3.15796771448933e-15,-1,2,-0.447213595499958,0.894427190999916,3,3
7,343,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
175,343,0,1,0,0,9.728370169343e-18,7.75370436231573e-17,0,2,0,1,3,3
177,343,0,1,0,0,0,0,0,1,0,1,3,3
1,344,0,1,0,0,0,0,0,1,0,1,3,3
2,344,0,1,0,0,0,0,0,1,0,1,3,3
3,344,0,1,0,0,-1.36744013253942e-15,1.57898385724467e-15,0,1,0,1,3,3
5,344,0,1,0,0,-1.11907973871869e-16,-3.86569252465196e-16,-1,1,-0.707106781186547,0.707106781186547,4,3
7,344,0,1,0,0,0,0,0,1,0,1,3,3
16,344,0,1,0,0,0,0,0,1,0,1,3,3
175,344,0,1,0,0,5.94761945361263e-16,1.60173463693483e-15,0,1,0,1,3,3
177,344,0,1,0,0,0,0,0,1,0,1,3,3
1,345,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
2,345,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
3,345,0,1,0,0,-1.36744013253942e-15,1.57898385724467e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
5,345,0,1,0,0,0,8.54650082837139e-17,0,1,0,1,3,3
7,345,0,1,0,0,0,0,0,1,0,1,3,3
16,345,0,1,0,0,0,0,0,1,0,1,3,3
175,345,0,1,0,0,5.94761945361263e-16,1.60173463693483e-15,0,2,0,1,3,3
177,345,0,1,0,0,0,0,0,2,0,1,3,3
1,346,0,1,0,0,0,0,0,1,0,1,3,3
2,346,0,1,0,0,0,0,0,1,0,1,3,3
3,346,0,1,0,0,-1.36744013253942e-15,1.57898385724467e-15,0,1,0,1,3,3
5,346,0,1,0,0,-1.11907973871869e-16,-3.86569252465196e-16,-1,1,-0.707106781186547,0.707106781186547,4,3
7,346,0,1,0,0,0,0,0,1,0,1,3,3
16,346,0,1,0,0,2.63210480108378e-17,3.37016524335782e-16,-1,1,-0.707106781186547,0.707106781186547,4,3
175,346,0,1,0,0,5.6199366347076e-16,9.30374160245801e-16,0,1,0,1,3,3
177,346,0,1,0,0,0,0,0,1,0,1,3,3
1,347,0,1,0,0,0,0,0,1,0,1,3,3
2,347,0,1,0,0,0,0,0,1,0,1,3,3
3,347,0,1,0,0,-1.36744013253942e-15,1.57898385724467e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
5,347,0,1,0,0,0,8.54650082837139e-17,0,1,0,1,3,3
7,347,0,1,0,0,0,0,0,1,0,1,3,3
16,347,0,1,0,0,0,0,0,2,0,1,3,3
175,347,0,1,0,0,5.6199366347076e-16,9.30374160245801e-16,0,1,0,1,3,3
177,347,0,1,0,0,0,0,0,1,0,1,3,3
1,348,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
2,348,0,1,0,0,0,0,-1,1,-0.707106781186547,0.707106781186547,4,3
3,348,0,1,0,0,2.73488026507885e-15,-1.57898385724467e-15,0,1,0,1,3,3
5,348,0,1,0,0,-1.11907973871869e-16,-3.86569252465196e-16,-1,1,-0.707106781186547,0.707106781186547,4,3
7,348,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
16,348,0,1,0,0,0,0,0,1,0,1,3,3
175,348,0,1,0,0,6.8600725948703e-16,-1.01329753442003e-15,0,1,0,1,3,3
177,348,0,1,0,0,0,0,0,2,0,1,3,3
1,349,0,1,0,0,0,0,0,1,0,1,3,3
2,349,0,1,0,0,0,0,0,1,0,1,3,3
3,349,0,1,0,0,-1.36744013253942e-15,1.57898385724467e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
5,349,0,1,0,0,0,8.54650082837139e-17,-1,1,-0.707106781186547,0.707106781186547,4,3
7,349,0,1,0,0,0,0,0,2,0,1,3,3
16,349,0,1,0,0,-3.96148753695528e-17,-3.10635156785898e-16,0,1,0,1,3,3
175,349,0,1,0,0,1.55919977982854e-15,4.46286328170811e-15,0,2,0,1,3,3
177,349,0,1,0,0,0,0,0,1,0,1,3,3
